Story ID,Increment,Title,UserStory,Business Value,Acceptance Criteria,Feature,Feedback on Uss,
US-SelectAnc-05,Increment-2,SelectAnc - Proceed Without Ancillaries,"As an Airline Agent, 
I want to confirm my order even if I do not select any optional ancillaries",So that I can complete the booking when no optional services are chosen.,"1. User should be able to proceed without selecting any ancillary.
2. System should confirm that no ancillaries are selected.
3. Order completion should be allowed without ancillary selection.
4. Order summary should exclude ancillaries if none are selected.
5. No error message should be displayed for skipping ancillaries.","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 27NOV OK to enable agents to proceed without adding ancillaries. 
However, the UI should automatically display the key ancillaries (based on the personalization) to be promoted/offered for the customer without opening separate tabs.

Additional Button ""Customer declined from purchasing ancillaries"" that needs to be clicked if no ancillaries are selected. 
TCS 23Dec: Need to check with Savitha & design team to confirm on recommendation.
TCS&1A12DEC:- Personalization - Ashwin will check and update.

1A 19JAN: Personalization will affect the Catalogue and fetch results in the catalog, as per specific personalization.",
US-Cart-13,Increment-2,Cart - Add selected ancillaries to cart for passengers,"As an Airline Agent,
I want to add selected ancillaries to my booking.",So that I can include additional services for passengers before checkout.,"1. User should be able to view the list of available ancillaries.
2. User should be able to select one or more ancillaries.
3. User should be able to assign selected ancillaries to one or more passengers. 
4. System should calculate and display the total ancillary price before adding to cart. 
5. Upon confirmation, selected ancillaries should be added to the cart. 
6. System should display a success message after ancillaries are added to cart.
7. Error handling must be available for:
No ancillary selected
System failure
Price fetch failure
8. Ancillaries added must be visible in cart summary with passenger mapping.

EndPoint: /v2/shopping/carts/{{cartId}}/services",F1.5-SC_F2_5//Display_&_Select_Ancillary,"AY 08DEC ok from data perspective, additional discussion needed related to UI design.

AY 15DEC ok",
US-Cart-14,Increment-2,Cart- View Ancillaries in Cart,"As an Airline Agent,
I want to view the ancillaries selected in the cart
",So that I can review all the ancillaries selected before confirming the order,"1. The cart should display all selected ancillaries.
2. Ancillaries should be grouped per passenger per segment. 
3. User should be able to navigate back to modify ancillary selection.","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 08DEC design to be jointly discussed, current solution is not clear for agents. Information should also contain information if something is included in price etc. 

AY 15DEC: During wireframe feedback the logic of displaying the ancillaries. The preferred option would be to display them per segment and per passenger.
TCS 23Dec: Noted and aligned.Need to update Savitha/Ranjith.
TCS&1A 12JAN: Design team need to confirm design update.
TCS 25 Feb : Latest wireframes allows agent to select service per passenger per segment.",
US-Cart-15,Increment-2,Cart-View Price Breakdown of ancillaries in Cart,"As an Airline Agent,
I want to see  the price breakdown of  ancillaries in the cart
",So that I can provide detailed price information with customer," 1. User can view price breakdown of each ancillary in the cart based on API.
 2. Breakdown includes unit price, quantity, and total amount.
 3. Total ancillary amount is calculated correctly.
 4. Price details are displayed in booking currency.
 5. Applicable taxes will shown separately.
","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services",AY 15DEC: ok,
US-Cart-16,Increment-2,Cart- View Grand Total for Ancillaries in Cart,"As an Airline Agent,
I want to view the grand total of all the  ancillaries in the cart.",So that I can review the total cost before proceeding to payment.,"1. Grand total of all selected ancillaries is displayed in the cart based on API.
2. Total updates automatically when ancillaries are added or removed. 
3. Amount is displayed in booking currency. 
4. Total applicable taxes will shown separately.
5. Total is visible before proceeding to payment.","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services",AY 15DEC: ok,
US-Cart-17,Increment-2,Cart- Modify or Delete Ancillaries in Cart,"As an airline agent,
I want the ability to modify or delete ancillaries in the passenger’s cart.",So that I can update the passenger’s order based on their latest preferences without needing to recreate the entire booking.,"Modify Ancillary
1. Agent should be able to change the quantity or details of an ancillary already added to the cart.
2. System should recalculate the total fare after modification.
3. Updated ancillary details should be reflected in the cart summary.
4. System should validate the availability before confirming modification.
 
Delete Ancillary
1. Agent should be able to remove an ancillary item from the cart.
2. System should ask for confirmation before deletion.
3. Total cart price should be updated after removal.
4. Removed ancillary should no longer appear in the cart summary.

*If modification or deletion cannot be performed, a clear error message should be displayed.","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services",AY 15DEC: ok,
US-BagPolicy01,Increment-2,FBA - View the  Check in Baggage Allowance,"As an Airline Agent,
I want to view the check in baggage policies based on the selected offer(s)",So that I can communicate  check in baggage allowances to the traveler,"1. Agent can see the free check-in baggage allowance based on the selected offer.
2. Baggage allowance information is displayed clearly on the booking summary.
3. The system updates baggage allowance automatically if the booking cabin or route changes.

* Display the Free Check-in Baggage allowance applicable for the cart contents with policy details and baggage specifications
* Show the policy applicability per passenger per segment. 
",F1.26 - SC_F2_34//Baggage_Policy_details,AY 15DEC: ok,
US-BagPolicy02,Increment-2,FBA - View the  Carry on  Baggage Allowance,"As an Airline Agent,
I want to view the carry on baggage policies based on the selected offer(s)",So that I can communicate carry on baggage allowances to the traveler,"1. Agent can see the allowed number of carry-on bags for the selected offer.
2. Agent can see the allowed weight and/or dimensions for carry-on bags.
3. Information is displayed clearly on the Order summary or baggage section.
4. Carry-on Baggage allowance differs by Cabin and PTC , the correct allowance should be displayed based on the Offer selected. 

*Display the Free carry on Baggage allowance applicable for the cart contents with policy details and baggage specifications
*Show the policy applicability per passenger per segment. ",F1.26 - SC_F2_34//Baggage_Policy_details,AY 15DEC: ok,
US-Seat-01,Increment-2,Seat- Retrieve Seatmap for the offer,"As an Airline Agent,
I want the system to retrieve the seatmap of each segment of the selected flights",So that I can assist passenger in seat selection,"1. System should retrieve the seatmap per segment for the flights included in the offer
2. If the offer includes flights operated by other airlines the system should show a vaild information message 
3. The system should handle any other error while retrieving seatmap

*Disclaimer: Error meesage will be covered in test scenarios.","F1.6-SC_F2_6//Ancillary__Seatmap_(Display,_Select,_View_Price,_Add_per_Paxs,..)",AY 15DEC: ok,
US-Seat-02,Increment-2,Seat - View seat service under Services Category,"As an airline agent, 
I want to include seat service under the services category.",So that passengers can view and select seats as part of the available services during booking.,"1. Seat service should appear under the Services category.
2. System should display available seat options based on flight and cabin class.
3. Seat service should be selectable and added to the order.
4.Seat availability and pricing should be fetched from the existing seat inventory.
","F1.6-SC_F2_6//Ancillary__Seatmap_(Display,_Select,_View_Price,_Add_per_Paxs,..)",AY 15DEC: ok,
US-Seat-03,Increment-2,Seat- View Seat Map with Seat Types and Prices,"As an Airline Agent,
I want to view a flight segment's seat map to see available, occupied, blocked, and paid seats with their types and prices",So that I can help passengers choose seats based on their preference and pricing,"1. System should display the seat layout for that segment with all available, occupied, and special seats.
2. Seats should be color coded or marked as Available , Unavailable, Special (extra legroom , exit row etc)
3. System should display only the seat map corresponding to that segment.
4. Detail information should appear on Hover eg seat number, type, price if applicable and attributes like Window , Aisle)
5. Seat Charcterstics should be shown as we are getting from API.
6. The price should be shown for Paid seats and Free indicated for non chargeable seats.
7. Seat avaialblity should be real time.
8. If seat map is not available proper error message should be shown as ""Seat selection is not available on this flight. 
9. Exit row seat will not be available for non ADT passenger i.e: CHD","F1.6-SC_F2_6//Ancillary__Seatmap_(Display,_Select,_View_Price,_Add_per_Paxs,..)","AY 15DEC: System should automatically based on the details in order (see above comment) highlight the seats suitable for certain attributes (e.g. seat suitable for PETC, WCH, INF…)  Also possibility to filter/highlight seats available for certain attributes is needed. 
Additional comment of terminology: please use wording Chargeable instead of Paid seat
TCS 23Dec: We need to discuss this with 1A.
TCS&1A 07DEC: Seat map requests typically return attributes like extra legroom, aisle seat, window seat, lavatory proximity, and bassinet availability, but not specific support for wheelchairs or pets in cabin.

TCS&1A12JAN: This is backlog items. ",
